2.0006	4.0012	8.0023	16.005	29.538	63.719	127.89	256.05	508.74	1019.3	2048.5	4091	117.17	13939	32748
26.747	53.494	106.99	0.0053595	427.51	855.69	1711.4	3422.4	6829.4	13614	27342	54757	1.0938e+05	2.1882e+05	4.3822e+05
2.0005	4.0011	8.0021	16.004	31.979	4.4241	127.49	255.75	511.04	1023.5	2046.8	4090.9	8179.4	10547	30159
2.0007	4.0013	7.9932	15.933	30.655	64.021	128.04	255.85	512.14	1024.3	2048.5	4084.2	8194.2	15.001	32719
2.0005	4.0011	7.2455	16.001	32.009	64.016	128.03	256.06	512.14	1024.3	2034.5	4097.1	8192.9	73.834	32715
1.9991	3.9978	6.768	0.41098	31.968	64.017	127.97	256.07	448.17	929.44	1941.6	4094.2	8181.8	16364	32734
2.0004	4.001	7.4046	16.004	31.983	63.991	128.01	253.49	1.4609	1024.1	2044	4094.6	8193.7	16337	32705
2.0005	4.0011	7.9946	14.754	31.948	2.666	128.04	255.75	371.51	1020.6	2043.5	4093.1	8156.1	16383	32746
2.0004	4.001	7.9952	15.923	32.007	64.016	128.03	256.06	472.16	1024.3	2048.5	12.572	8194	16387	32660
2.0004	4.0009	7.9824	16.004	29.585	63.908	128.01	255.91	512.14	1024.3	2036.1	11.867	8190.6	16388	32719
1.9902	3.9821	0.42987	15.958	31.662	63.459	117.5	255.05	365.8	1021.2	2048.5	4044.5	7167.9	16353	32712
2.0005	4.001	7.9995	15.985	0.24816	64.016	115.24	256.06	511.38	1024.2	2044.8	3794.8	8179.6	16337	32712
2.0006	4.0012	7.9947	14.876	32.01	0.20202	123.52	255.74	507.95	1023	2048.4	4092.6	8194.5	16346	32740
2.0005	4.001	7.9981	16.004	32.008	64.016	128.03	244.09	512.13	1024.2	7.6125	4097	8173.8	16388	30407
1.9987	4.0011	7.8991	14.772	31.998	64.017	127.45	256.07	512.14	1024.3	2048.2	12.555	8181.7	16368	32776
1.9939	3.9862	0.033206	16.004	31.872	63.452	123.99	245.66	512.14	1017.7	2031.6	3796.4	8194.2	16345	32696
1.9985	3.9965	6.7104	0.31064	31.899	64.018	127.97	245.33	511.6	1021.5	2048.6	3797.2	8174.3	16365	30406
2.0005	4.001	8.0021	16.004	32.008	64.017	128.03	256.07	511.96	1024.3	1872.7	39.247	7575.1	15119	32772
1.9984	4.001	7.4233	15.978	32.002	64.013	0.70908	256.03	512.13	1019.3	1892.8	4090.1	8179.9	16341	32776
2.0005	4.001	8.0018	16.001	31.195	63.981	127.95	189.2	512.11	1023.7	2011.8	144.25	8180.1	16341	32706
2.0006	4.0012	8.0024	16.005	31.956	60.125	127.79	256.08	512.16	1019.3	245.83	4085.5	8187.5	8669.6	32705
2.0005	4.0011	7.9957	0.097697	32.009	56.955	128.03	256.07	512.14	1024.3	2046.8	4097.1	8187.8	16376	32767
2.0004	4.0008	7.9741	16.003	32	64.007	128	236.6	512.01	1024.1	2048.4	4086.7	8193.8	47.511	32775
2.0005	4.001	8.0018	15.934	32.008	59.278	128.03	256.07	512.02	1023.9	2048.2	4096.9	8192.9	16387	90.227
2.0005	4.0011	8.0021	16.004	32.009	64.017	128.03	256.07	3.2055	1022.5	2043.1	4094.9	7568.5	16342	30108
2.0005	4.001	8.002	16.004	32.008	64.016	128.03	256.06	457.91	1023.7	18.58	4094.7	8181.1	16333	30067
2.0005	4.0011	8.0021	16.004	0.0014633	63.764	127.99	255.91	512.14	1021.9	2048.3	4080.8	8193.4	16341	32555
2.0005	4.0009	7.9481	14.929	32.008	64.015	128.03	255.79	512.12	8.1789	2043.9	4080.9	7583.6	16254	30301
2.0005	4.001	8.002	16.004	32.008	64.016	128.03	256.07	512.13	10.361	1799.4	3798.1	8169.1	16334	32734
2.0005	4.001	7.2919	16.004	31.65	63.598	128.03	255.55	512.12	1021.9	2047.3	4097	8168.5	66.211	32713
2.0005	4.0011	0.037894	15.902	32.008	64.017	123.87	256.07	511.58	955.68	2048.5	4096.8	7685.2	16354	32767
2.0005	4.0011	8.0013	16.004	31.892	63.96	70.404	256.07	494.63	125.14	2045.4	4088.7	8190.7	16343	27531
2.0005	4.001	8.0016	15.901	29.652	64.016	127.39	255.51	510.6	1024.3	2048.5	4094.3	8193.2	16387	90.226
1.9246	4.0009	5.4211	1.8133	28.775	62.169	112.73	236.48	509.98	1022.1	1792.2	4077.2	8012	16356	24685
2.0005	4.001	8.0021	16.004	29.643	64.016	127.37	256.07	510.6	1024.3	2048.5	4094.4	8194.1	16387	90.227
1.8148	3.6474	0.10236	15.912	31.889	64.016	127.88	254.74	511.52	941.65	2048.3	4097	8181.4	16353	31171
2.0006	4.0012	8.0024	16.005	32.01	64.019	128.04	4.963	420.01	1003.2	1895.7	4083.4	8193.8	16353	32713
1.9975	4.001	7.8367	15.989	32.005	64.016	128.03	256.07	473.53	1021.9	2048.5	12.581	8180.1	16368	32661
2.0005	4.0009	8.0018	16.004	32.007	51.443	125.84	256.05	21.392	1022.2	1709.9	4043.2	7175.6	16353	32714
2.0006	4.0011	8.0022	16.004	32.009	64.015	127.57	256.07	512.09	1024	6.0587	4083.8	8165.6	15133	32746
2.0005	4.0011	7.9961	16.004	31.882	63.995	128.03	237.32	512.08	2.7976	2045.6	4096.7	8173.2	16341	32523
1.9876	3.9836	0.16223	15.036	30.585	64.019	126.1	256.08	452.67	950.64	1809.8	4071.6	7836.7	16354	32746
2.0009	4.0019	8.0038	16.008	32.015	2.3637	128.06	250.85	466.63	1023.2	1538.8	4086.3	7820.2	16392	32715
